logM,logN,logB
NA,NA,-2.579184802315721
NA,NA,5.478692572095361
NA,NA,7.781277665089407
NA,NA,6.164016305293509
NA,NA,5.692788933181335
NA,NA,6.802394763324311
NA,NA,8.409310987863227
NA,NA,4.7930319507819705
NA,NA,5.547110106933759
NA,NA,7.148345743900068
NA,NA,7.331538841651382
NA,NA,12.10355530643482
NA,NA,10.5565485875642
-17.53278948659991,NA,-1.9427186473192424
-12.756096582700321,13.710496082427658,0.9594442782137971
-13.68448229555787,NA,NA
-12.641354899247657,13.153294092511846,0.4912645676891343
-17.205767999588094,NA,-3.512995239283987
-17.205767999588094,NA,-3.98117481811701
NA,NA,NA
-15.55278184190826,NA,NA
-13.158633248577361,10.873321326217242,-2.241605710583181
-13.331591696209356,9.62279102425806,-3.7088005684294254
-7.944007097995665,10.444281021087946,2.5002738833565923
-5.021234391097678,11.24865375247987,6.2526884693246325
-3.6468215657052543,8.997362474866058,5.350540393600198
-3.5907731870076103,NA,NA
-3.1086336658436595,6.917923407897764,3.8092867544846922
-3.9817978254142976,10.319117819905333,6.344149343485421
-1.8773173575897015,6.917923407897764,5.022957068279383
-5.025241446485618,7.611065639028501,3.496769648330839
-3.907035463917107,9.482869719559611,5.5514576436187655
-4.624353005404865,10.383656217307106,5.75911086873467
-17.131448095675605,NA,-8.569539671788446
-17.131448095675605,NA,-4.817052385025283
-17.131448095675605,NA,-5.71921088281342
-17.131448095675605,NA,NA
-17.131448095675605,NA,-7.260438201651332
-17.131448095675605,NA,-4.725599219210504
-17.131448095675605,NA,-6.046808138147258
-17.131448095675605,NA,-7.572898263132485
-17.131448095675605,NA,-5.518290947531425
-17.131448095675605,NA,-5.310632892270686
-11.819450625223489,12.724655791760782,0.8164365838656042
-13.112413046551161,14.9462386132983,1.8335591616459201
-6.717134919373487,11.786001537239637,4.968672093091963
-8.468403027246806,12.910417695275322,4.442831040328234
-12.89921982609012,NA,NA
-15.147316733800094,NA,NA
-12.069644951239557,13.871286219019856,1.801640771296151
-13.040783390411907,NA,NA
-18.609422868549242,NA,-3.703550550266082
-11.572488650309724,NA,-3.24631125805427
-10.298012720605959,NA,-1.2214096123807179
-12.287189429817536,9.62279102425806,-2.664397496823873
-19.080393148426072,NA,-1.9775797795280958
-12.928434447568659,13.288010535887771,0.35957703878487857
-17.136972971607577,NA,-2.1349322645368014
-11.473242358737107,11.901716191714785,0.4284734413073755
-12.533136084039223,NA,1.1959701584024593
-12.533136084039223,NA,-0.32000005105521034
-12.89921982609012,NA,NA
-13.040783390411907,NA,NA
-11.88980311622648,10.946764705358776,-0.9437264220140696
-10.008848068193954,11.17799537862378,1.0811754806133278
-11.572675469376003,NA,-2.235161986276704
-10.008848068193954,NA,-0.9441759353636907
-5.349610660935587,7.388754484700668,1.9685212099597882
-4.804841381117159,6.917923407897764,2.1135897962551877
-6.750751530172472,4.990908663912222,-1.957180016113582
-4.7927053098349335,9.809410362287673,5.168203498955243
-6.287178791257027,4.745366816481375,-1.541077640996374
-3.6156289923743437,2.756205242989257,-0.8579984749661606
-5.955087577409161,7.4576323708110355,1.5206586318051687
-7.992200791972697,7.680531235403819,-0.35918709675394533
-5.605301477211623,2.503073953743449,-3.1026228480439513
-7.59091830747868,7.951386781058073,0.5032024006959013
-3.941695646049033,3.6838669122903918,-0.25771209261940703
-3.7030081071300556,2.362739015813793,-1.3401385208797167
-3.5554682472114285,5.898718576906392,2.3432583084472443
-3.341944777337294,1.4701758451005926,-1.8728463218312301
0.2738020414561736,NA,-2.448854412495503
-0.7609978474681197,NA,-3.5583355195016213
-1.1897412220792116,-2.995732273553991,-4.18903553377543
-0.4307829160924542,-1.9661128563728327,-2.383731159143736
-0.9175415137758076,NA,-6.58407884630698
-0.2484613592984996,-2.4079456086518722,-2.6961063141486945
-1.489435120039404,-3.506557897319982,-5.051816728207181
-0.1397219431751373,-3.506557897319982,-3.503658770518861
-1.9105430052180221,-3.912023005428146,-5.6056852731165865
-1.5558971455060706,NA,-7.221233906477928
-0.9137938516755678,-1.4696759700589417,-2.390660308386408
-1.0106014113453965,-1.9661128563728327,-2.9635497318630595
-0.30381145438166457,NA,NA
-0.42235697577838255,-4.605170185988091,-5.61888082156983
-1.0244328904938582,-3.2188758248682006,-4.206045133626126
-1.0216512475319814,-4.605170185988091,-6.100386954332169
0.8129282188790019,-4.605170185988091,-4.383587852740836
-2.967144816702078,-1.7147984280919266,-4.7097088172632136
0.8754687373538999,-2.2072749131897207,-1.3190855334264435
-0.13524714940802574,-2.5257286443082556,-2.657615675350913
-1.422958345491482,NA,-4.892252438367905
-1.8018098050815563,-1.4271163556401458,-3.228443953769841
-1.0847093834991182,-0.8915981192837836,-1.9754736753080158
-2.353878387381596,-2.659260036932778,-5.075958122722551
-0.2817000007742335,-2.2072749131897207,-2.4824847848718172
-2.2585682075772713,-0.6348782724359695,-2.893345374715598
-1.0788096613719298,-4.605170185988091,-5.646712398051204
-3.868006120011372,0.5364933705145685,-3.3336106983945966
-1.0010319603292457,-1.2378743560016174,-2.2463049536131114
0.17100779689368129,-0.916290731874155,-0.7540651704045723
-0.7339691750802004,NA,NA
-0.8770700187208739,-2.995732273553991,-3.9189217471193025
-0.6568152513125551,-4.605170185988091,-5.042404637785241
0.039701366851552046,-2.995732273553991,-2.959591297927633
-0.579818495252942,NA,-6.246356796736772
-3.058672073327865,-1.8971199848858813,-4.959348249728237
-0.9969586349416099,-1.5606477482646683,-2.579184802315721
-3.1212954965293367,-4.605170185988091,-7.912330925723864
-0.05129329438755058,NA,-5.9409615649348755
0.3576744442718159,NA,-3.0575544871973337
0.2730759200624188,-3.912023005428146,-3.8248274787284484
-3.7214026458194964,-4.605170185988091,-8.800219452331824
-0.9063404010209869,-2.995732273553991,-3.9481943725663218
-1.3093333199837622,0.9669838461896731,-0.34332544630931944
1.791759469228055,NA,-0.014395925883733415
-15.979638907811303,NA,NA
NA,NA,NA
NA,NA,NA
-20.601048204222163,NA,NA
-13.841854533303875,NA,-7.972546019174736
NA,NA,-11.37316352259507
-16.268918540692905,NA,-12.02375108873622
-15.935774094164366,NA,-13.805560227111107
-14.948714291402004,NA,-11.464135300800796
-19.11382792451231,NA,-9.220390707829685
NA,NA,-21.639556568820566
-11.636203319531074,4.720282993088596,-6.915787450679401
-12.947570087031165,NA,-10.024525880913185
-13.458535659016544,NA,-9.429740937011559
-13.26806567882702,NA,-10.167453098370594
-17.289278632461265,NA,-11.464135300800796
NA,NA,-18.929841088399296
NA,NA,-16.544273800664026
-16.772022118364983,NA,-14.918130868029923
-12.635932910473059,NA,-12.066310703155015
-19.624653548278303,NA,-16.596131451901318
-18.7773556878911,NA,-12.562747589468906
-17.72753356339242,NA,-10.871071578797833
-17.034386382832476,NA,-12.354572653848617
-17.289278632461265,NA,-11.464135300800796
-17.289278632461265,NA,-25.162921584456928
-17.289278632461265,NA,-13.122363377404328
-16.772022118364983,NA,-12.311433161188
-17.391061326771208,NA,-10.557414019942792
-17.355970006959936,NA,-10.982297213908058
NA,NA,-16.599362472482767
NA,NA,-26.41314540643362
-10.044345835673253,7.838000196761686,-2.2463994855101346
-14.657389792324619,11.901716191714785,-2.7556686769665557
-9.92554463119914,6.279440326423679,-3.607199932904701
-10.13959831591669,6.189146690384318,-4.268697949366879
-9.753483802204638,7.343574989104049,-2.4476108650443034
-10.083146417442604,10.166939302400046,-0.00904074465214907
-9.832473791090203,8.934870097734205,-0.9055068376404032
-9.81943026791731,9.429607620125257,-0.2997546536860502
-14.538210140786244,8.393922124024474,-6.232415717072157
-10.042465292478408,7.358544233053964,-2.7646205525906042
-10.05411813518151,4.286478926661966,-5.843044541989709
-9.618308610302465,6.244962700435939,-3.533744116364299
-10.300984490995116,6.781704408781537,-3.53799008658905
-9.26614117837053,7.949733722082654,-1.4260327762577218
-10.237645349540175,7.144486103804862,-3.235302507084996
-10.22262644332295,8.042631992208447,-2.306554962508935
-10.206841117185352,2.7942278973432626,-7.436575166120407
-10.17138451418501,7.138335112486719,-3.241632811990817
-9.988065529011426,NA,NA
-10.23184440812207,8.157780216775901,-2.0438952633089427
-19.93027332141675,NA,-8.537395898733758
-22.843529373146502,NA,-7.590952128688914
-21.822878625948103,NA,-16.33376718743383
-19.744939714152803,NA,-9.661325995386157
-20.45323869973335,NA,-9.003326202591856
-21.576581769659178,NA,-5.88890795878289
NA,NA,NA
NA,NA,NA
-18.90194756547681,NA,-4.350527967614511
-19.290565103012366,NA,-4.903576221802848
NA,NA,-6.733801971858699
-21.426463353359857,NA,-10.97643209445566
NA,NA,NA
NA,NA,NA
-21.18848094946035,NA,-11.107460356862065
-19.86460421790889,NA,-8.568486485803788
-20.913216420904856,NA,NA
-21.93728897712585,NA,-10.908609498116899
-22.633808842164434,NA,-9.683549132170867
-23.658844187680653,NA,-9.530545636133523
-20.41578113719845,NA,-8.580132991190112
-23.10489413728091,NA,-16.04113460982219
-23.10489413728091,NA,NA
-22.07419305422901,NA,-8.028613176597567
-22.95819228146664,NA,NA
-21.18848094946035,NA,-6.3144284337044025
NA,NA,NA
NA,NA,NA
-20.540944280152456,11.33637621630429,-9.200390041123015
-17.96960512459215,13.881951643078656,-4.045554398052668
-16.664548452367463,13.858549961016093,-2.805935393407371
-17.96960512459215,14.50099041961492,-3.4265151896464454
-17.10695707566731,18.481652006858305,1.3746949219848261
-16.10814532010515,8.678394953830189,-7.428294594935767
-20.401182337777296,16.711673326653926,-3.6918598912073164
-20.192637585884242,7.242504603671181,-12.952620602817234
NA,NA,-6.915888262212326
-16.308046234916766,13.962325793369525,-2.345720177311712
NA,NA,-0.8369547354006239
-18.2636769951427,15.348502767572645,-2.9150743705365367
-16.756754646234196,6.512888806383741,-10.24316492010629
-16.766269465875535,8.907942552088626,-7.8583786899367976
-17.737583899245923,11.973321463384435,-5.766722274430075
-20.192637585884242,12.282837834155117,-7.9098762674614855
-19.682989125291265,14.434310673174613,-5.2487846210175455
-16.95927891034567,14.066722356534488,-2.89255674323901
-22.763486665472964,16.71438128045961,-6.052234179437933
-19.40418022551997,14.750170714119053,-4.652953856841898
-19.93480847658214,4.122445992332976,-15.810610951210359
-16.766269465875535,12.356133889286085,-4.410138084834957
-20.90718867510734,15.56127562673091,-5.345408974081887
-16.756754646234196,13.574034691914418,-3.182719899536749
-19.50835309258214,16.539669880951134,-2.968490717160813
-19.595094746036757,11.68336124831642,-7.912877224562908
-20.192637585884242,NA,-17.69313213667509
-10.24316492010629,NA,-13.168407315905736
NA,NA,-10.66705719739262
NA,NA,-12.464843374487534
NA,NA,-12.083855012805925
NA,NA,-14.196770977375621
NA,NA,-10.86582222291169
NA,NA,-8.364472104398574
NA,NA,-10.16225828149349
NA,NA,-9.781269919811878
NA,NA,-11.894185884381576
-15.320588455074132,4.454928522657548,-10.86582222291169
-18.97232836223861,9.971944013514017,-6.921043173309073
-16.27826440311114,7.91363805505797,-8.364472104398574
-17.127324378491743,6.694141177884057,-10.434515883619639
-14.668826490677041,4.887638691386985,-9.781269919811878
-16.27826440311114,4.383275854074314,-11.894185884381576
-5.221356325411908,NA,NA
-13.656449098633939,10.3979270541002,-3.258518827172996
-15.238468903455756,5.621161445967864,-9.615305605042696
-16.074078765541547,7.220490874498025,-8.853365473028452
-16.06930548678889,7.220490874498025,-8.853365473028452
-26.16776571367253,NA,-3.258518827172996
NA,NA,-11.205440765222267
NA,NA,-9.322389875784806
-12.404523584254012,1.851599469584072,-10.553575243635626
-12.404523584254012,3.731938943574383,-8.672678094256632
-15.75345253737041,7.205605480349544,-8.548167995715668
-16.685491626212706,NA,NA
-8.310179022031912,4.903050083416319,-3.40822199659912
NA,NA,-3.407871604821284
-10.451668962845888,3.563882963939251,-7.271598712399482
